Date,Time,Refund Expiration,Receipt,Item,Amount,Quantity,Txn Type,TID,Upsell From,Has Upsells,Line Item Type,Pmt,Currency,Commission Attribution,CC&#8225;,St.
3/6/2020,15:15:00,N/A,96V86ASB,rfnd-0004,-1,1,Charge,,,,Original,,,Hop,,
3/6/2020,15:15:00,N/A,96V86ASB,417,0,1,Refund,hackvidalytics,,,Original,PYPL,USD,Hop,US,PA
3/6/2020,11:30:00,N/A,CXVBA7PQ,lbhdtea3discount,-86.12,1,Refund,,,,Original,PYPL,USD,Hop,US,CO
3/6/2020,4:35:00,8/3/2020,NDFIQNJC-B005,LBHTEA1,77.28,1,Rebill,,,,Original,VISA,USD,Hop,US,AR
3/6/2020,4:20:00,8/3/2020,FXX3U96K-B005,FBHSA17,41.83,1,Rebill,,,,Original,MSTR,USD,Hop,US,TX
3/6/2020,4:18:00,8/3/2020,4MKI73RK-B011,LBHTEA1-N,78.55,1,Rebill,,,,Original,VISA,USD,Hop,US,OR
4/6/2020,8:17:00,8/4/2020,C5ZRU9CX-B005,FBHSA17,41.81,1,Rebill,,,,Original,PYPL,USD,Hop,US,NC
4/6/2020,8:17:00,8/4/2020,XQJIXNP2-B002,LBHTEA1,77.3,1,Rebill,,,,Original,PYPL,USD,Hop,US,AZ
4/6/2020,7:34:00,8/4/2020,KWZIFNG9-B006,FBHSA17,41.83,1,Rebill,,,,Original,PYPL,USD,Hop,US,TX
4/6/2020,4:14:00,8/4/2020,8M72VANR-B012,LBHTEA1,24.89,1,Rebill,,,,Original,MSTR,USD,Hop,US,FL
5/6/2020,19:53:00,8/5/2020,G4JPA7RR,lbhdtea3,93.7,1,Sale,,YGJPA72V,,Upsell,VISA,USD,Hop,US,VA
5/6/2020,19:21:00,8/5/2020,YGJPA72V,417,0,1,Sale,hackvidalytics,,G4JPA7RR,Original,VISA,USD,Hop,US,VA
5/6/2020,19:21:00,8/5/2020,YGJPA72V,OB-ACS,0,1,Sale,hackvidalytics,,G4JPA7RR,Bump,VISA,USD,Hop,US,VA
5/6/2020,19:21:00,8/5/2020,YGJPA72V,OB-LBHA,0,1,Sale,hackvidalytics,,G4JPA7RR,Bump,VISA,USD,Hop,US,VA
5/6/2020,19:21:00,8/5/2020,YGJPA72V,OB-Package,0,1,Sale,hackvidalytics,,G4JPA7RR,Bump,VISA,USD,Hop,US,VA
5/6/2020,18:43:00,8/5/2020,NML86A8T,LBBEXTRA3,42.83,1,Sale,,CGL86AR3,,Upsell,VISA,USD,Hop,US,PA
5/6/2020,18:40:00,8/5/2020,CGL86AR3,LBB6,97.54,1,Sale,,,NML86A8T,Original,VISA,USD,Hop,US,PA
5/6/2020,16:22:00,8/5/2020,9JMIZNYX,LBB1,0,1,Sale,,,,Original,VISA,USD,Hop,US,CA
5/6/2020,13:30:00,8/5/2020,RJL86AL3,LBB3,0,1,Sale,,,,Original,VISA,USD,Hop,US,CA
5/6/2020,9:53:00,8/5/2020,8SL86AX4,LBB6,98.75,1,Sale,,,,Original,PYPL,USD,Hop,US,FL
5/6/2020,7:15:00,8/5/2020,BTMIZN9T,LBBEXTRA3,43.02,1,Sale,,VCZIZNCC,,Upsell,PYPL,USD,Hop,US,MT
5/6/2020,7:11:00,8/5/2020,VCZIZNCC,LBB3,0,1,Sale,,,BTMIZN9T,Original,PYPL,USD,Hop,US,MT
5/6/2020,6:50:00,8/5/2020,7CVVU9T8,LBHTEA1-N,7,1,Sale-RB,,,,Original,VISA,USD,Hop,US,TX
